lead_id,created_date,lead_source,product_line,region,nam_owner,client_type,deal_value_usd,period,lead_status,disqualified_reason
L-P1-02230,30-Mar-24,Partner Referral,Smart Buildings,West,J. Sullivan,Enterprise Business,54625,P1,Open,
L-P1-02231,06/13/2024,Inbound Web Form,Smart Lighting,Northeast,R. Alvarez,Campus,23004,P1,Qualified,
L-P1-02232,11-Apr-24,Outbound SDR,Video Analytics,Northeast,K. Romano,Municipality,18075,P1,Disqualified,No response
L-P1-02233,26-08-2024,Partner Referral,Smart Lighting,Northeast,J. Sullivan,Enterprise Business,43116,P1,Qualified,
L-P1-02234,04-Jan-24,Outbound SDR,Digital Signage,Northeast,L. Fitzgerald,Mixed-Use Development,55904,P1,Qualified,
L-P1-02235,09-Aug-24,Partner Referral,Digital Signage,Northeast,J. Sullivan,Mixed-Use Development,23655,P1,Qualified,
L-P1-02236,10-10-2024,Inbound Web Form,Digital Signage,Midwest,,Campus,21004,P1,Qualified,
L-P1-02237,03-08-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),West,K. Romano,Mixed-Use Development,25431,P1,Open,
L-P1-02238,05-03-2024,Inbound Web Form,Smart Mobility (EV/Parking),South,R. Alvarez,Multifamily Property,45820,P1,Qualified,
L-P1-02239,31-10-2024 00:00,Partner Referral,Smart Mobility (EV/Parking),West,T. Chen,Campus,24199,P1,Open,
L-P1-02240,18-09-2024,PARTNER REFERRAL,Digital Signage,SOUTH,T. Chen,Campus,23435,P1,Open,
L-P1-02241,18-Jun-24,Inbound Web Form,Smart Mobility (EV/Parking),South,M. Okafor,Enterprise Business,58034,P1,Open,
L-P1-02242,15-Dec-24,Outbound SDR,Smart Buildings,South,S. Patel,Municipality,23525,P1,Open,
L-P1-02243,06-10-2024,Inbound Web Form,Smart Buildings,Northeast,D. Singh,Mixed-Use Development,107632,P1,Disqualified,No budget
L-P1-02244,07-01-2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,D. Singh,Municipality,13047,P1,Disqualified,Duplicate
L-P1-02245,06/17/2024,Partner Referral,Video Analytics,Northeast,,Mixed-Use Development,41627,P1,Open,
L-P1-02246,24-03-2024 00:00,Partner Referral,Smart Buildings,Midwest,J. Sullivan,Mixed-Use Development,22275,P1,Open,
L-P1-02247,06/15/2024,Existing Client Upsell,Smart Lighting,Midwest,R. Alvarez,Municipality,66489,P1,Open,
L-P1-02248,05-06-2024,Outbound SDR,Digital Signage,South,D. Singh,Municipality,36642,P1,Qualified,
L-P1-02249,07-03-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),West,K. Romano,Mixed-Use Development,45156,P1,Open,
L-P1-02250,01-01-2024,Inbound Web Form,Video Analytics,Midwest,J. Sullivan,Enterprise Business,16071,P1,Disqualified,No budget
L-P1-02251,28-12-2024 00:00,Inbound Web Form,Video Analytics,Northeast,R. Alvarez,Mixed-Use Development,17111,P1,Disqualified,Wrong fit
L-P1-02252,27-Oct-24,Inbound Web Form,Digital Signage,West,M. Okafor,Municipality,14221,P1,Disqualified,Wrong fit
L-P1-02253,01/18/2024,Inbound Web Form,Smart Mobility (EV/Parking),South,J. Sullivan,Enterprise Business,17234,P1,Qualified,
L-P1-02254,06-12-2024 00:00,Partner Referral,Digital Signage,Midwest,K. Romano,Municipality,32136,P1,Qualified,
L-P1-02255,22-Sep-24,Outbound SDR,Video Analytics,West,L. Fitzgerald,Enterprise Business,32870,P1,Qualified,
L-P1-02256,10-12-2024,Trade Show,Smart Mobility (EV/Parking),Northeast,T. Chen,Campus,33260,P1,Open,
L-P1-02257,10/19/2024,Outbound SDR,Smart Buildings,Midwest,T. Chen,Municipality,63192,P1,Qualified,
L-P1-02258,06/27/2024,Inbound Web Form,Digital Signage,Northeast,L. Fitzgerald,Mixed-Use Development,11957,P1,Qualified,
L-P1-02259,01-02-2024,Outbound SDR,Smart Buildings,Northeast,K. Romano,Multifamily Property,26493,P1,Disqualified,No response
L-P1-02260,20-Nov-24,Inbound Web Form,Video Analytics,South,K. Romano,Municipality,11455,P1,Open,
L-P1-02261,07-02-2024 00:00,Inbound Web Form,Smart Buildings,West,D. Singh,Enterprise Business,16541,P1,Disqualified,Wrong fit
L-P1-02262,08-06-2024,Inbound Web Form,Smart Mobility (EV/Parking),South,D. Singh,Multifamily Property,56235,P1,Open,
L-P1-02263,26-03-2024 00:00,Trade Show,Digital Signage,Northeast,S. Patel,Campus,61242,P1,Open,
L-P1-02264,16-Jun-24,Inbound Web Form,Video Analytics,West,L. Fitzgerald,Municipality,48714,P1,Open,
L-P1-02265,29-12-2024,Outbound SDR,Smart Lighting,West,L. Fitzgerald,Multifamily Property,35453,P1,Open,
L-P1-02266,05-05-2024 00:00,Partner Referral,Video Analytics,South,D. Singh,Campus,26151,P1,Disqualified,Duplicate
L-P1-02267,09-01-2024,Inbound Web Form,Digital Signage,West,D. Singh,Enterprise Business,24899,P1,Open,
L-P1-02268,10-06-2024,Inbound Web Form,Video Analytics,South,D. Singh,Municipality,39316,P1,Disqualified,Duplicate
L-P1-02269,05-Oct-24,Inbound Web Form,Smart Mobility (EV/Parking),South,T. Chen,Municipality,19245,P1,Disqualified,Wrong fit
L-P1-02270,04-12-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,T. Chen,Mixed-Use Development,57972,P1,Disqualified,Duplicate
L-P1-02271,10/19/2024,Inbound Web Form,Digital Signage,Midwest,K. Romano,Campus,14801,P1,Disqualified,No budget
L-P1-02272,13-10-2024 00:00,Inbound Web Form,Video Analytics,Northeast,D. Singh,Campus,21063,P1,Disqualified,Duplicate
L-P1-02273,21-11-2024,Inbound Web Form,Video Analytics,Midwest,D. Singh,Municipality,41532,P1,Qualified,
L-P1-02274,09/28/2024,Partner Referral,Smart Mobility (EV/Parking),West,T. Chen,Mixed-Use Development,52826,P1,Open,
L-P1-02275,28-Jun-24,Partner Referral,Smart Mobility (EV/Parking),Northeast,K. Romano,Enterprise Business,39068,P1,Disqualified,No response
L-P1-02276,10-10-2024,Existing Client Upsell,Smart Buildings,Midwest,L. Fitzgerald,Municipality,23976,P1,Open,
L-P1-02277,11-Oct-24,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,M. Okafor,Campus,24735,P1,Qualified,
L-P1-02278,16-04-2024,Trade Show,Smart Buildings,Northeast,J. Sullivan,Multifamily Property,44922,P1,Disqualified,No response
L-P1-02279,04-07-2024,Inbound Web Form,Digital Signage,South,M. Okafor,Enterprise Business,21454,P1,Disqualified,No response
L-P1-02280,11-07-2024,EXISTING CLIENT UPSELL,Smart Buildings,NORTHEAST,K. Romano,Enterprise Business,17425,P1,Qualified,
L-P1-02281,16-11-2024,Trade Show,Smart Lighting,Midwest,D. Singh,Enterprise Business,61949,P1,Open,
L-P1-02282,18-03-2024 00:00,Inbound Web Form,Smart Buildings,Midwest,S. Patel,Multifamily Property,19505,P1,Open,
L-P1-02283,02-Jan-24,Partner Referral,Smart Buildings,Midwest,J. Sullivan,Enterprise Business,29340,P1,Disqualified,Wrong fit
L-P1-02284,01-Oct-24,Cold Outreach,Video Analytics,South,R. Alvarez,Mixed-Use Development,23248,P1,Qualified,
L-P1-02285,28-02-2024 00:00,PARTNER REFERRAL,Smart Buildings,MIDWEST,D. Singh,Enterprise Business,27887,P1,Disqualified,Duplicate
L-P1-02286,16-04-2024 00:00,Inbound Web Form,Smart Buildings,South,L. Fitzgerald,Campus,30457,P1,Open,
L-P1-02287,23-09-2024 00:00,Trade Show,Video Analytics,Midwest,D. Singh,Mixed-Use Development,27923,P1,Qualified,
L-P1-02288,04-11-2024,Outbound SDR,Smart Lighting,South,J. Sullivan,Enterprise Business,18174,P1,Disqualified,No response
L-P1-02289,18-08-2024 00:00,Inbound Web Form,Video Analytics,Midwest,M. Okafor,Multifamily Property,22103,P1,Qualified,
L-P1-02290,29-Apr-24,Inbound Web Form,Digital Signage,South,T. Chen,Enterprise Business,29997,P1,Disqualified,No budget
L-P1-02291,23-01-2024 00:00,Inbound Web Form,Video Analytics,South,R. Alvarez,Mixed-Use Development,9296,P1,Qualified,
L-P1-02292,13-Nov-24,Inbound Web Form,Smart Buildings,South,J. Sullivan,Municipality,50785,P1,Open,
L-P1-02293,06-05-2024,Cold Outreach,Smart Mobility (EV/Parking),Midwest,S. Patel,Multifamily Property,24907,P1,Open,
L-P1-02294,05-Dec-24,Existing Client Upsell,Smart Buildings,Northeast,D. Singh,Enterprise Business,8000,P1,Open,
L-P1-02295,29-Apr-24,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Mixed-Use Development,33256,P1,Disqualified,No budget
L-P1-02296,23-04-2024,Cold Outreach,Smart Mobility (EV/Parking),Northeast,M. Okafor,Enterprise Business,46763,P1,Disqualified,Duplicate
L-P1-02297,16-10-2024,Partner Referral,Smart Buildings,West,S. Patel,Mixed-Use Development,20303,P1,Open,
L-P1-02298,12-May-24,Inbound Web Form,Smart Lighting,South,D. Singh,Municipality,23020,P1,Qualified,
L-P1-02299,26-12-2024 00:00,Inbound Web Form,Video Analytics,West,J. Sullivan,Campus,69466,P1,Open,
L-P1-02300,12-11-2024,INBOUND WEB FORM,Video Analytics,MIDWEST,M. Okafor,Enterprise Business,14480,P1,Qualified,
L-P1-02301,01-04-2024 00:00,Partner Referral,Smart Buildings,Midwest,T. Chen,Enterprise Business,61363,P1,Open,
L-P1-02302,23-06-2024 00:00,Partner Referral,Digital Signage,Northeast,D. Singh,Campus,52561,P1,Open,
L-P1-02303,04/18/2024,Partner Referral,Smart Buildings,South,M. Okafor,Mixed-Use Development,29210,P1,Disqualified,No budget
L-P1-02304,17-Mar-24,Existing Client Upsell,Video Analytics,West,S. Patel,Multifamily Property,75284,P1,Open,
L-P1-02305,10/20/2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,S. Patel,Multifamily Property,21700,P1,Qualified,
L-P1-02306,07-11-2024 00:00,Inbound Web Form,Smart Lighting,West,J. Sullivan,Multifamily Property,36957,P1,Open,
L-P1-02307,16-02-2024,PARTNER REFERRAL,Smart Lighting,NORTHEAST,J. Sullivan,Municipality,56176,P1,Open,
L-P1-02308,24-Oct-24,Partner Referral,Smart Buildings,South,M. Okafor,Mixed-Use Development,103922,P1,Open,
L-P1-02309,05/17/2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,S. Patel,Multifamily Property,19636,P1,Disqualified,Wrong fit
L-P1-02310,19-May-24,Inbound Web Form,Smart Buildings,South,D. Singh,Enterprise Business,43294,P1,Qualified,
L-P1-02311,21-Aug-24,Outbound SDR,Smart Lighting,Northeast,T. Chen,Mixed-Use Development,21792,P1,Open,
L-P1-02312,11-Aug-24,Inbound Web Form,Digital Signage,Midwest,D. Singh,Mixed-Use Development,29196,P1,Qualified,
L-P1-02313,30-Jul-24,Inbound Web Form,Smart Buildings,,K. Romano,Enterprise Business,21109,P1,Open,
L-P1-02314,30-Aug-24,Partner Referral,Smart Buildings,South,J. Sullivan,Municipality,38492,P1,Disqualified,No response
L-P1-02315,24-03-2024,Trade Show,Smart Buildings,Midwest,S. Patel,Municipality,13677,P1,Disqualified,No budget
L-P1-02316,04-08-2024,Outbound SDR,Smart Mobility (EV/Parking),Northeast,K. Romano,Campus,19039,P1,Open,
L-P1-02317,05/19/2024,Partner Referral,Digital Signage,West,T. Chen,Mixed-Use Development,56583,P1,Open,
L-P1-02318,08-12-2024 00:00,Partner Referral,Digital Signage,Midwest,K. Romano,Enterprise Business,36863,P1,Qualified,
L-P1-02319,01-10-2024,Existing Client Upsell,Smart Lighting,South,S. Patel,Enterprise Business,25229,P1,Qualified,
L-P1-02320,16-Sep-24,Partner Referral,Smart Mobility (EV/Parking),South,M. Okafor,Municipality,34764,P1,Disqualified,Duplicate
L-P1-02321,11-08-2024,Existing Client Upsell,Smart Buildings,South,L. Fitzgerald,Municipality,18745,P1,Open,
L-P1-02322,21-04-2024 00:00,Inbound Web Form,Digital Signage,South,D. Singh,Municipality,57804,P1,Disqualified,Wrong fit
L-P1-02323,27-07-2024,PARTNER REFERRAL,Video Analytics,SOUTH,M. Okafor,Multifamily Property,13603,P1,Disqualified,Duplicate
L-P1-02324,31-Mar-24,Inbound Web Form,Smart Lighting,West,K. Romano,Campus,29895,P1,Open,
L-P1-02325,21-07-2024 00:00,Partner Referral,Smart Lighting,Northeast,J. Sullivan,Campus,40338,P1,Qualified,
L-P1-02326,12-09-2024 00:00,Partner Referral,Smart Mobility (EV/Parking),West,S. Patel,Enterprise Business,11869,P1,Open,
L-P1-02327,07-07-2024,Existing Client Upsell,Video Analytics,South,K. Romano,Campus,19272,P1,Open,
L-P1-02328,28-Jun-24,Outbound SDR,Smart Lighting,South,M. Okafor,Multifamily Property,31610,P1,Open,
L-P1-02329,01-Mar-24,Inbound Web Form,Digital Signage,Midwest,K. Romano,Municipality,28981,P1,Disqualified,No response
L-P1-02330,08-11-2024,Partner Referral,Digital Signage,West,T. Chen,Municipality,23582,P1,Open,
L-P1-02331,08-06-2024,OUTBOUND SDR,Video Analytics,WEST,M. Okafor,Campus,8666,P1,Qualified,
L-P1-02332,06/18/2024,Outbound SDR,Video Analytics,South,J. Sullivan,Municipality,22997,P1,Open,
L-P1-02333,09-12-2024,Inbound Web Form,Smart Buildings,Midwest,K. Romano,Municipality,50992,P1,Open,
L-P1-02334,05/27/2024,Inbound Web Form,Digital Signage,South,M. Okafor,Enterprise Business,61587,P1,Open,
L-P1-02335,26-03-2024,Outbound SDR,Smart Buildings,Midwest,S. Patel,Enterprise Business,15488,P1,Disqualified,Wrong fit
L-P1-02336,21-Apr-24,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,D. Singh,Enterprise Business,42714,P1,Qualified,
L-P1-02337,07-04-2024 00:00,Outbound SDR,Video Analytics,South,S. Patel,Mixed-Use Development,24413,P1,Disqualified,No budget
L-P1-02338,19-Mar-24,Inbound Web Form,Smart Lighting,Northeast,T. Chen,Campus,36394,P1,Open,
L-P1-02339,22-05-2024 00:00,Inbound Web Form,Smart Buildings,South,R. Alvarez,Campus,21604,P1,Qualified,
L-P1-02340,16-Oct-24,Trade Show,Digital Signage,Northeast,R. Alvarez,Multifamily Property,17467,P1,Disqualified,Duplicate
L-P1-02341,28-06-2024 00:00,Partner Referral,Smart Buildings,Midwest,T. Chen,Mixed-Use Development,42568,P1,Disqualified,No response
L-P1-02342,12/16/2024,Outbound SDR,Smart Lighting,South,S. Patel,Campus,21981,P1,Disqualified,Wrong fit
L-P1-02343,10-05-2024 00:00,PARTNER REFERRAL,Smart Mobility (EV/Parking),,M. Okafor,Campus,23954,P1,Open,
L-P1-02344,09-Nov-24,Partner Referral,Smart Lighting,West,M. Okafor,Enterprise Business,27860,P1,Qualified,
L-P1-02345,25-10-2024,Outbound SDR,Video Analytics,South,S. Patel,Multifamily Property,11376,P1,Qualified,
L-P1-02346,03/31/2024,Inbound Web Form,Video Analytics,Northeast,K. Romano,Enterprise Business,16379,P1,Disqualified,Duplicate
L-P1-02347,07-May-24,Inbound Web Form,Smart Mobility (EV/Parking),South,J. Sullivan,Enterprise Business,32630,P1,Open,
L-P1-02348,17-Mar-24,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,D. Singh,Municipality,46374,P1,Open,
L-P1-02349,16-04-2024 00:00,Cold Outreach,Smart Lighting,Northeast,L. Fitzgerald,Mixed-Use Development,75593,P1,Open,
L-P1-02350,04/25/2024,Inbound Web Form,Video Analytics,West,R. Alvarez,Municipality,28796,P1,Disqualified,Wrong fit
L-P1-02351,16-Mar-24,Trade Show,Smart Lighting,West,K. Romano,Mixed-Use Development,32223,P1,Disqualified,No budget
L-P1-02352,12-May-24,Outbound SDR,Video Analytics,West,S. Patel,Campus,8000,P1,Open,
L-P1-02353,07-04-2024 00:00,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Municipality,34682,P1,Disqualified,Duplicate
L-P1-02354,25-07-2024,Partner Referral,Video Analytics,West,T. Chen,Municipality,10955,P1,Open,
L-P1-02355,28-Nov-24,Partner Referral,Smart Mobility (EV/Parking),West,J. Sullivan,Municipality,28616,P1,Open,
L-P1-02356,28-10-2024 00:00,OUTBOUND SDR,Smart Lighting,MIDWEST,R. Alvarez,Municipality,36778,P1,Open,
L-P1-02357,01-12-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,T. Chen,Campus,32000,P1,Open,
L-P1-02358,10-01-2024 00:00,Trade Show,Video Analytics,Midwest,J. Sullivan,Mixed-Use Development,45223,P1,Open,
L-P1-02359,03-04-2024,Partner Referral,Digital Signage,South,R. Alvarez,Mixed-Use Development,18467,P1,Qualified,
L-P1-02360,08-06-2024,Outbound SDR,Digital Signage,South,D. Singh,Campus,10052,P1,Open,
L-P1-02361,05/29/2024,Existing Client Upsell,Digital Signage,South,J. Sullivan,Mixed-Use Development,32681,P1,Open,
L-P1-02362,30-07-2024 00:00,Partner Referral,Digital Signage,Midwest,K. Romano,Municipality,26074,P1,Disqualified,Duplicate
L-P1-02363,08-04-2024 00:00,Trade Show,Smart Buildings,Northeast,D. Singh,Campus,16627,P1,Open,
L-P1-02364,18-05-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),Midwest,L. Fitzgerald,Campus,24112,P1,Open,
L-P1-02365,10-02-2024,Outbound SDR,Smart Buildings,South,L. Fitzgerald,Campus,38908,P1,Open,
L-P1-02366,02/25/2024,COLD OUTREACH,Smart Mobility (EV/Parking),NORTHEAST,K. Romano,Multifamily Property,71214,P1,Open,
L-P1-02367,16-12-2024,Outbound SDR,Smart Buildings,Northeast,D. Singh,Mixed-Use Development,20840,P1,Qualified,
L-P1-02368,07-10-2024,Outbound SDR,Smart Mobility (EV/Parking),West,J. Sullivan,Enterprise Business,17643,P1,Disqualified,No response
L-P1-02369,02-Feb-24,Trade Show,Smart Buildings,Northeast,L. Fitzgerald,Mixed-Use Development,18724,P1,Open,
L-P1-02370,10/26/2024,Inbound Web Form,Video Analytics,Midwest,D. Singh,Multifamily Property,31611,P1,Disqualified,Wrong fit
L-P1-02371,05/15/2024,Existing Client Upsell,Smart Buildings,Northeast,J. Sullivan,Enterprise Business,15151,P1,Open,
L-P1-02372,01/30/2024,Inbound Web Form,Smart Lighting,Midwest,M. Okafor,Enterprise Business,29935,P1,Open,
L-P1-02373,15-Feb-24,Inbound Web Form,Smart Mobility (EV/Parking),West,L. Fitzgerald,Enterprise Business,21231,P1,Disqualified,Wrong fit
L-P1-02374,23-10-2024 00:00,Cold Outreach,Video Analytics,West,K. Romano,Campus,24056,P1,Disqualified,No budget
L-P1-02375,02-Aug-24,Existing Client Upsell,Smart Buildings,South,S. Patel,Enterprise Business,12287,P1,Open,
L-P1-02376,14-02-2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,S. Patel,Multifamily Property,22619,P1,Open,
L-P1-02377,04-01-2024,Cold Outreach,Video Analytics,West,M. Okafor,Municipality,,P1,Disqualified,No response
L-P1-02378,29-08-2024,Inbound Web Form,Video Analytics,West,S. Patel,Campus,32150,P1,Open,
L-P1-02379,05/31/2024,Inbound Web Form,Video Analytics,Midwest,M. Okafor,Multifamily Property,37326,P1,Open,
L-P1-02380,25-06-2024,Partner Referral,Video Analytics,West,S. Patel,Multifamily Property,102186,P1,Open,
L-P1-02381,06-Mar-24,Inbound Web Form,Smart Lighting,South,T. Chen,Mixed-Use Development,15566,P1,Open,
L-P1-02382,26-Mar-24,Trade Show,Smart Lighting,Midwest,L. Fitzgerald,Municipality,46937,P1,Open,
L-P1-02383,04-Sep-24,Cold Outreach,Smart Lighting,West,T. Chen,Multifamily Property,17472,P1,Disqualified,Wrong fit
L-P1-02384,24-03-2024,Partner Referral,Smart Mobility (EV/Parking),Northeast,S. Patel,Campus,32734,P1,Open,
L-P1-02385,26-08-2024,Existing Client Upsell,Smart Mobility (EV/Parking),South,J. Sullivan,Campus,30606,P1,Disqualified,Duplicate
L-P1-02386,02/21/2024,Existing Client Upsell,Smart Lighting,Midwest,D. Singh,Campus,76737,P1,Disqualified,No budget
L-P1-02387,09-11-2024,Trade Show,Smart Lighting,South,L. Fitzgerald,Campus,10184,P1,Qualified,
L-P1-02388,16-11-2024,Existing Client Upsell,Video Analytics,West,J. Sullivan,Municipality,10416,P1,Open,
L-P1-02389,30-Nov-24,Trade Show,Smart Mobility (EV/Parking),South,M. Okafor,Multifamily Property,65604,P1,Disqualified,No response
L-P1-02390,15-Oct-24,Existing Client Upsell,Digital Signage,South,R. Alvarez,Multifamily Property,42998,P1,Disqualified,Duplicate
L-P1-02391,26-09-2024,Inbound Web Form,Video Analytics,Northeast,R. Alvarez,Campus,23980,P1,Disqualified,No response
L-P1-02392,25-01-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),Midwest,R. Alvarez,Mixed-Use Development,53175,P1,Disqualified,No budget
L-P1-02393,12/29/2024,INBOUND WEB FORM,Smart Lighting,NORTHEAST,S. Patel,Enterprise Business,50381,P1,Qualified,
L-P1-02394,21-07-2024 00:00,Inbound Web Form,Video Analytics,West,D. Singh,Mixed-Use Development,59766,P1,Qualified,
L-P1-02395,16-07-2024 00:00,Inbound Web Form,Smart Buildings,,L. Fitzgerald,Multifamily Property,43706,P1,Open,
L-P1-02396,03-Mar-24,Inbound Web Form,Smart Lighting,West,S. Patel,Municipality,72989,P1,Open,
L-P1-02397,28-03-2024 00:00,Trade Show,Smart Lighting,South,D. Singh,Enterprise Business,23567,P1,Open,
L-P1-02398,09/15/2024,Existing Client Upsell,Smart Lighting,Midwest,D. Singh,Campus,34119,P1,Open,
L-P1-02399,21-Feb-24,EXISTING CLIENT UPSELL,Smart Lighting,WEST,M. Okafor,Enterprise Business,52103,P1,Open,
L-P1-02400,12/20/2024,Outbound SDR,Video Analytics,South,M. Okafor,Municipality,,P1,Open,
L-P1-02401,02/21/2024,Outbound SDR,Video Analytics,Northeast,J. Sullivan,Enterprise Business,17979,P1,Open,
L-P1-02402,02-Jun-24,Outbound SDR,Video Analytics,South,S. Patel,Multifamily Property,42439,P1,Disqualified,No response
L-P1-02403,10-05-2024,Outbound SDR,Digital Signage,,S. Patel,Municipality,17805,P1,Qualified,
L-P1-02404,09-10-2024,Trade Show,Smart Buildings,South,D. Singh,Multifamily Property,9055,P1,Disqualified,Duplicate
L-P1-02405,11-03-2024 00:00,Partner Referral,Smart Lighting,South,D. Singh,Mixed-Use Development,44891,P1,Disqualified,Duplicate
L-P1-02406,24-12-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,M. Okafor,Multifamily Property,21152,P1,Qualified,
L-P1-02407,25-10-2024 00:00,Trade Show,Video Analytics,Northeast,L. Fitzgerald,Municipality,16822,P1,Disqualified,No budget
L-P1-02408,03/13/2024,Existing Client Upsell,Smart Buildings,Northeast,D. Singh,Municipality,26750,P1,Open,
L-P1-02409,21-Oct-24,Partner Referral,Smart Buildings,West,L. Fitzgerald,Multifamily Property,48017,P1,Open,
L-P1-02410,27-12-2024 00:00,Partner Referral,Smart Lighting,Northeast,D. Singh,Municipality,25702,P1,Qualified,
L-P1-02411,01-09-2024,Trade Show,Digital Signage,South,T. Chen,Municipality,42857,P1,Disqualified,No budget
L-P1-02412,17-Jun-24,Partner Referral,Smart Mobility (EV/Parking),South,L. Fitzgerald,Enterprise Business,30523,P1,Disqualified,No budget
L-P1-02413,05-06-2024,Outbound SDR,Smart Buildings,Northeast,L. Fitzgerald,Multifamily Property,24166,P1,Disqualified,No budget
L-P1-02414,06-08-2024 00:00,Inbound Web Form,Digital Signage,West,T. Chen,Multifamily Property,19802,P1,Open,
L-P1-02415,03-Aug-24,Inbound Web Form,Smart Lighting,Midwest,M. Okafor,Municipality,13377,P1,Open,
L-P1-02416,06/24/2024,Inbound Web Form,Video Analytics,South,R. Alvarez,Municipality,43542,P1,Qualified,
L-P1-02417,31-Jul-24,Partner Referral,Digital Signage,,M. Okafor,Campus,57231,P1,Open,
L-P1-02418,27-Feb-24,Outbound SDR,Smart Buildings,Midwest,D. Singh,Municipality,32634,P1,Qualified,
L-P1-02419,17-05-2024,Outbound SDR,Smart Lighting,West,M. Okafor,Mixed-Use Development,15055,P1,Disqualified,Wrong fit
L-P1-02420,12/16/2024,Cold Outreach,Smart Buildings,South,D. Singh,Multifamily Property,30803,P1,Disqualified,No budget
L-P1-02421,15-Oct-24,Cold Outreach,Smart Buildings,West,T. Chen,Enterprise Business,10000,P1,Open,
L-P1-02422,17-Nov-24,Partner Referral,Video Analytics,West,T. Chen,Municipality,31527,P1,Disqualified,Duplicate
L-P1-02423,01-12-2024 00:00,Outbound SDR,Smart Buildings,South,J. Sullivan,Mixed-Use Development,16357,P1,Open,
L-P1-02424,11-10-2024 00:00,Cold Outreach,Digital Signage,West,T. Chen,Enterprise Business,65064,P1,Open,
L-P1-02425,05-02-2024,Outbound SDR,Digital Signage,Northeast,L. Fitzgerald,Enterprise Business,18471,P1,Qualified,
L-P1-02426,09-Feb-24,Inbound Web Form,Smart Lighting,West,R. Alvarez,Campus,33118,P1,Open,
L-P1-02427,21-Jun-24,OUTBOUND SDR,Smart Mobility (EV/Parking),MIDWEST,L. Fitzgerald,Mixed-Use Development,47071,P1,Open,
L-P1-02428,30-01-2024,Existing Client Upsell,Smart Lighting,Northeast,K. Romano,Enterprise Business,33581,P1,Qualified,
L-P1-02429,12-May-24,Partner Referral,Smart Lighting,Midwest,T. Chen,Campus,25643,P1,Disqualified,Duplicate
L-P1-02430,18-05-2024,Inbound Web Form,Smart Lighting,Midwest,S. Patel,Multifamily Property,38179,P1,Disqualified,No budget
L-P1-02431,14-03-2024,Inbound Web Form,Video Analytics,Northeast,S. Patel,Enterprise Business,34788,P1,Open,
L-P1-02432,10-08-2024 00:00,Cold Outreach,Smart Buildings,West,R. Alvarez,Multifamily Property,34053,P1,Disqualified,Wrong fit
L-P1-02433,12-07-2024 00:00,Inbound Web Form,Smart Buildings,,S. Patel,Enterprise Business,35039,P1,Disqualified,Wrong fit
L-P1-02434,11/23/2024,OUTBOUND SDR,Digital Signage,SOUTH,S. Patel,Mixed-Use Development,22779,P1,Disqualified,No response
L-P1-02435,04/25/2024,Inbound Web Form,Smart Lighting,,T. Chen,Enterprise Business,12729,P1,Qualified,
L-P1-02436,10/20/2024,Inbound Web Form,Digital Signage,South,M. Okafor,Mixed-Use Development,48985,P1,Disqualified,No response
L-P1-02437,03-01-2024,Inbound Web Form,Digital Signage,Midwest,T. Chen,Municipality,43144,P1,Open,
L-P1-02438,05-09-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Mixed-Use Development,28912,P1,Disqualified,No response
L-P1-02439,04-02-2024,PARTNER REFERRAL,Smart Mobility (EV/Parking),MIDWEST,D. Singh,Mixed-Use Development,20068,P1,Qualified,
L-P1-02440,18-04-2024 00:00,Cold Outreach,Smart Mobility (EV/Parking),South,S. Patel,Campus,25847,P1,Open,
L-P1-02441,20-Jan-24,Trade Show,Smart Mobility (EV/Parking),West,J. Sullivan,Municipality,27726,P1,Qualified,
L-P1-02442,11-Mar-24,Outbound SDR,Smart Mobility (EV/Parking),Northeast,S. Patel,Mixed-Use Development,14277,P1,Disqualified,Duplicate
L-P1-02443,11-11-2024,Inbound Web Form,Smart Buildings,Midwest,M. Okafor,Campus,38808,P1,Open,
L-P1-02444,06-01-2024,PARTNER REFERRAL,Smart Lighting,MIDWEST,D. Singh,Enterprise Business,57188,P1,Open,
L-P1-02445,05-01-2024 00:00,OUTBOUND SDR,Smart Lighting,WEST,L. Fitzgerald,Municipality,17288,P1,Qualified,
L-P1-02446,20-09-2024 00:00,Outbound SDR,Video Analytics,South,M. Okafor,Multifamily Property,10885,P1,Open,
L-P1-02447,11-11-2024,Partner Referral,Video Analytics,Northeast,K. Romano,Enterprise Business,35796,P1,Qualified,
